product_id,name,description,category,brand,price
105595,Laptop LG Gram 2022 16ZD90Q-G.AX53A5 - Cũ Trầy Xước,,Hàng cũ,LG,37990000.0
51533,Hub Ugreen Type C 6 in 1 CM195 ,,Phụ kiện,,950000
107608,Ốp lưng iPhone 16 Pro Max Wiwu YXK-207 Clear,,Phụ kiện,,170000
91230,Combo bàn phím + chuột Logitech MK540,,Phụ kiện,,1390000.0
108870,Túi chống sốc Recently Tribute 14 inch,,Phụ kiện,,520000
95700,Pin dự phòng Baseus Picogo màn hình số 10000mAh 45W,,Phụ kiện,,870000
65494,Hộp phụ kiện robot Ecovacs Deebot N10,,Nhà thông minh,,629000
61276,Máy lọc không khí Sharp FP-J30E-B,,Nhà thông minh,,2790000.0
78450,VGA MSI GeForce RTX 4060 VENTUS 2X Black 8G OC,,Linh kiện máy tính,,9890000.0
86337,Đồng hồ Samsung Galaxy Watch6 44mm - Cũ Xước Cấn,,Hàng cũ,,7490000.0
61174,Camera IP 360 độ 4MP EZVIZ TY1,,Phụ kiện,,1250000.0
57367,Dán kính cường lực màn hình Apple iPad 11 A16 10.9/Gen 10 JCPAL,,Phụ kiện,,450000
114475,iPhone Air 256GB - Chính hãng Đã kích hoạt,,Hàng cũ,Apple,31990000.0
56734,Samsung Galaxy S22 Plus (8GB - 256GB) - Cũ Xước Cấn,,Hàng cũ,Samsung,25990000.0
57871,Súng Massage cầm tay Xiaomi BHR5608EU,,Nhà thông minh,,2990000.0
55657,Ốp lưng iPhone 14 Pro Max Araree Boat,,Phụ kiện,,550000
76494,Samsung Galaxy Watch6 Classic 47mm - Cũ Trầy Xước,,Hàng cũ,,9490000.0
96029,iPad mini 7 2024 Wifi 128GB | Chính hãng - Đã Kích Hoạt,,Hàng cũ,Apple,13990000.0
71448,Sim Vinaphone YOLO125V 7GB/Ngày - Gói cước 6 tháng,,Sim 4G,,990000
105728,Smart Tivi LG QNED 4K 65 inch 2025 (65QNED86ASA),,Tivi,LG,29900000.0
92567,Đế sạc Anker không dây Maggo 3 trong 1 gập B25M8,,Phụ kiện,,2600000.0
68492,Dán kính cường lực màn hình Apple iPhone 15 Pro Max Mipow Premium,,Phụ kiện,,400000
59890,"Củ sạc nhanh Aukey PD 45W PA-B4T 2 cổng, chấu gập",,Phụ kiện,,650000
111118,Pin sạc dự phòng Belkin Polymer Pocket Power 20000mAh PD 65W,,Phụ kiện,,2490000.0
65254,Samsung Galaxy A54 5G 8GB 256GB - Cũ Đẹp,,Hàng cũ,Samsung,10490000.0
96112,Sim 4G Vinaphone 6VD90 (1GB/Ngày) - 6 tháng có nghe gọi (Thành phẩm),,Sim 4G,,990000
44997,Samsung Galaxy A12 6GB 128GB - Cũ trầy xước,,Hàng cũ,Samsung,4290000.0
61282,Máy lọc không khí ô tô Sharp IG-NX2E-B,,Nhà thông minh,,2990000.0
104998,Quạt cầm tay mini Veeco VMF-56 2000mAh,,Phụ kiện,,360000
111916,Sim 5G VNSKY 6T5G119 9GB/Ngày - Free 6 tháng,,Sim 4G,,890000
107385,Đồng hồ thông minh Huawei Watch GT 5 41mm dây cao su - Cũ Đẹp,,Hàng cũ,,5490000.0
106627,Xiaomi Redmi Pad SE 8.7 inch 4G 2024 - Cũ Trầy Xước,,Hàng cũ,Xiaomi,5400000.0
97318,Pin sạc dự phòng Baseus Free2pull kèm cáp thu gọn 20000mAh 65W,,Phụ kiện,,1890000.0
101252,Masstel Tab 10 Edu 4G 3GB 32GB - Đã Kích Hoạt,,Hàng cũ,Masstel,2490000.0
55490,Apple Macbook Air M2 2022 8GB 512GB - Cũ Đẹp,,Hàng cũ,Apple,27490000.0
101277,Nồi cơm điện tử AQUA AQS-RBC401R(N)-VN,,Đồ gia dụng,,1590000.0
91693,Xiaomi Poco M6 6GB 128GB - Cũ Trầy Xước,,Hàng cũ,Xiaomi,2490000.0
88794,OPPO Find N3 Flip 12GB 256GB - Cũ Xước Cấn,"Điện thoại gập OPPO Find N5 là chiếc điện thoại mang phong cách thời thượng, thiết kế mỏng nhẹ với bộ vi xử lý mạnh mẽ rất mạnh mẽ. Đây sẽ là một sự lựa chọn hoàn hảo cho những ai yêu thích công nghệ, đáng để trải nghiệm nếu muốn sử dụng sản phẩm smartphone màn hình gập mới hoàn toàn.",Hàng cũ,OPPO,22990000.0
72401,Máy cạo râu Enchen BlackStone 3,,Đồ gia dụng,,429000
90676,Itel 9211 4G,,Điện thoại,Hãng khác,490000
87811,Sạc ô tô Trusmi không dây 15W kết hợp giá đỡ CC07,,Phụ kiện,,570000
68614,Đồng hồ thông minh Garmin Fenix 7x Sapphire Solar - Cũ Trầy Xước,,Hàng cũ,,23990000.0
78118,MacBook Air M3 13 inch 2024 16GB - 512GB | Chính hãng Apple Việt Nam,,Laptop,Apple,32990000.0
105476,Laptop Dell Inspiron 15 3520 N3520-I5U165W11SLU - Cũ Đẹp,,Hàng cũ,Dell,16990000.0
107984,Đai Massage chườm nóng bụng và thắt lưng Breo Y2,,Nhà thông minh,,3290000.0
113337,Laptop Lenovo Yoga Slim 7 14ACN6 82N7008VVN - Cũ Xước Cấn,,Hàng cũ,Lenovo,26990000.0
111211,Bàn phím iPad Air 11 M2/M3 Apple Magic Keyboard 2025 (MDFV4) - Đã Kích Hoạt,,Hàng cũ,,7790000.0
97390,Microphone không dây DJI 3 (TX+TX+RX) 2 MIC,,Âm thanh,,9820000.0
78916,realme 11 8GB 128GB - Cũ Trầy Xước,,Hàng cũ,Realme,7390000.0
98655,Ốp lưng iPad Air 11 (M2/M3)/Air 5/Air 10.9 Otterbox React Folio,,Phụ kiện,,990000
57860,Tai Nghe Không Dây True Wireless JBL Live Pro 2 - Cũ,,Hàng cũ,,3990000.0
107408,Nồi cơm điện tử Toshiba RC-18DR4TVN(W),,Đồ gia dụng,,3490000.0
55026,Miếng dán camera iPhone 14 Pro / 14 Pro Max Mipow viền màu,,Phụ kiện,,325000
91123,OPPO Reno12 5G 12GB 512GB - Cũ Đẹp,,Hàng cũ,OPPO,16090000.0
107897,Pin dự phòng Robot 1C2A 20000mAh màn hình Led tích hợp 4 cáp RT26,,Phụ kiện,,799000
111122,Sạc nhanh Belkin 20W 1 cổng USB-C PD/PPS Cubic Wall Charger,,Phụ kiện,,390000
87133,Máy chơi game MSI Claw - Đã Kích Hoạt,,Hàng cũ,,21490000.0
69338,OnePlus Nord CE 3 Lite - Cũ Trầy Xước,,Hàng cũ,Hãng khác,6190000.0
91274,Máy tính bảng Teclast Mini M50 6GB/128GB - Đã Kích Hoạt,,Hàng cũ,Hãng khác,2990000.0
